customer_id,age,credit_score,annual_income,debt_to_income,loan_amount,loan_term_months,employment_years,num_credit_accounts,num_late_payments,num_inquiries_6m,utilization_rate,has_mortgage,has_auto_loan,account_age_months,loan_purpose,employment_status,region,loan_to_income,monthly_payment_est,payment_to_income,risk_exposure,payment_history_score,credit_mix_score,inquiry_penalty,stability_score,composite_risk_score,credit_score_band,defaulted
FIN_000000,59,692,73136,0.5603,26334,36,4,10,0,0,0.6029,0,1,138,Home Improvement,Employed,Northeast,0.3601,731.5,0.12,14754.94,1.0,1.0,0.0,0.46,0.6629,Good,1
FIN_000001,72,590,22499,0.3331,26035,84,5,13,0,7,0.5214,1,0,231,Business,Self-Employed,Southeast,1.1572,309.94,0.1653,8672.26,1.0,1.0,1.0,0.8,0.7428,Fair,1
FIN_000002,49,602,51745,0.2485,13220,84,5,10,1,0,0.4417,0,0,232,Auto,Employed,West,0.2555,157.38,0.0365,3285.17,0.5,1.0,0.0,0.5,0.6312,Fair,0
FIN_000003,35,700,68221,0.1009,9015,48,11,10,3,5,0.8243,1,0,146,Business,Employed,Southeast,0.1321,187.81,0.033,909.61,0.25,1.0,1.0,1.0,0.6894,Good,0
FIN_000004,63,643,72170,0.2235,9237,48,3,7,2,1,0.5037,0,1,182,Business,Employed,West,0.128,192.44,0.032,2064.47,0.3333,0.7,0.2,0.42,0.6004,Fair,0
FIN_000005,28,817,80177,0.0863,48688,84,7,14,0,1,0.4398,1,0,221,Business,Employed,West,0.6073,579.62,0.0868,4201.77,1.0,1.0,0.2,0.88,0.9048,Exceptional,0
FIN_000006,41,676,67600,0.4191,15509,24,0,12,1,4,0.4601,0,0,84,Home Improvement,Employed,Northeast,0.2294,646.21,0.1147,6499.82,0.5,1.0,0.8,0.21,0.5693,Good,0
FIN_000007,59,464,52407,0.3407,138934,12,0,5,0,3,0.3687,0,0,58,Home Improvement,Employed,Southwest,2.6511,11577.83,2.6511,47334.81,1.0,0.5,0.6,0.145,0.6135,Very Poor,1
FIN_000008,39,312,103190,0.1815,8550,12,7,8,1,2,0.4167,1,1,49,Business,Business Owner,Midwest,0.0829,712.5,0.0829,1551.82,0.5,0.8,0.4,0.7025,0.5784,Very Poor,0
FIN_000009,43,324,47507,0.3396,24706,24,4,5,1,3,0.5545,1,1,237,Medical,Self-Employed,Southeast,0.52,1029.42,0.26,8390.16,0.5,0.5,0.6,0.76,0.538,Very Poor,1
FIN_000010,31,422,48718,0.1435,3793,84,31,2,1,0,0.6594,1,1,227,Home Improvement,Employed,West,0.0779,45.15,0.0111,544.3,0.5,0.2,0.0,1.0,0.6471,Very Poor,0
FIN_000011,31,428,126482,0.652,22692,36,3,10,3,1,0.3394,0,0,207,Business,Employed,Southeast,0.1794,630.33,0.0598,14795.18,0.25,1.0,0.2,0.42,0.4171,Very Poor,0
FIN_000012,44,846,15000,0.0796,12325,60,2,10,2,1,0.596,1,0,164,Medical,Self-Employed,Southeast,0.8217,205.42,0.1643,981.07,0.3333,1.0,0.2,0.68,0.7377,Exceptional,0
FIN_000013,73,608,69238,0.2816,43773,24,4,5,3,0,0.2381,0,1,125,Home Improvement,Employed,West,0.6322,1823.88,0.3161,12326.48,0.25,0.5,0.0,0.46,0.5894,Fair,1
FIN_000014,56,735,70647,0.6045,11378,24,13,5,0,2,0.6359,0,0,125,Medical,Employed,Northeast,0.1611,474.08,0.0805,6878.0,1.0,0.5,0.4,0.7,0.6997,Good,0
FIN_000015,60,481,38083,0.299,11115,84,1,8,2,0,0.4096,0,1,47,Home Improvement,Business Owner,Southeast,0.2919,132.32,0.0417,3323.38,0.3333,0.8,0.0,0.1575,0.4943,Very Poor,0
FIN_000016,44,342,49574,0.5033,16290,84,2,14,1,5,0.6131,1,0,202,Medical,Employed,Southwest,0.3286,193.93,0.0469,8198.76,0.5,1.0,1.0,0.68,0.4856,Very Poor,1
FIN_000017,23,703,48629,0.2812,6955,60,18,10,2,1,0.3301,0,1,69,Business,Employed,Midwest,0.143,115.92,0.0286,1955.75,0.3333,1.0,0.2,0.5725,0.6473,Good,0
FIN_000018,42,562,43128,0.4093,6551,36,1,14,2,1,0.5265,1,1,123,Business,Retired,Southwest,0.1519,181.97,0.0506,2681.32,0.3333,1.0,0.2,0.64,0.556,Very Poor,1
FIN_000019,73,369,47195,0.1603,7329,48,1,10,4,1,0.2376,0,0,35,Auto,Employed,Southeast,0.1553,152.69,0.0388,1174.84,0.2,1.0,0.2,0.1275,0.4755,Very Poor,1
FIN_000020,22,591,61605,0.0895,25369,60,0,15,1,2,0.8547,0,0,33,Home Improvement,Employed,Southeast,0.4118,422.82,0.0824,2270.53,0.5,1.0,0.4,0.0825,0.5631,Fair,1
FIN_000021,44,513,34352,0.1688,3773,12,2,19,0,1,0.1811,0,0,99,Home Improvement,Employed,Midwest,0.1098,314.42,0.1098,636.88,1.0,1.0,0.2,0.3275,0.7199,Very Poor,1
FIN_000022,64,446,48887,0.4927,26571,24,2,18,0,0,0.809,1,0,43,Medical,Employed,Southwest,0.5435,1107.12,0.2718,13091.53,1.0,1.0,0.0,0.4875,0.5765,Very Poor,1
FIN_000023,50,324,21817,0.1638,22942,12,4,15,1,1,0.3821,0,1,34,Business,Self-Employed,West,1.0516,1911.83,1.0516,3757.9,0.5,1.0,0.2,0.245,0.5219,Very Poor,1
FIN_000024,58,622,33900,0.2927,55481,36,3,7,1,1,0.5027,0,0,163,Business,Employed,West,1.6366,1541.14,0.5455,16239.29,0.5,0.7,0.2,0.42,0.6091,Fair,0
FIN_000025,22,408,25547,0.2408,8040,84,3,2,2,1,0.3284,0,1,6,Home Improvement,Employed,West,0.3147,95.71,0.045,1936.03,0.3333,0.2,0.2,0.135,0.4879,Very Poor,0
FIN_000026,41,550,53804,0.1883,30294,12,0,3,0,2,0.6231,0,0,74,Home Improvement,Employed,Northeast,0.563,2524.5,0.563,5704.36,1.0,0.3,0.4,0.185,0.6625,Very Poor,1
FIN_000027,53,781,26272,0.469,9343,12,6,14,2,1,0.4877,0,0,134,Debt Consolidation,Self-Employed,Midwest,0.3556,778.58,0.3556,4381.87,0.3333,1.0,0.2,0.54,0.6073,Very Good,0
FIN_000028,32,474,21253,0.3936,33359,36,3,13,0,0,0.6093,0,1,152,Business,Employed,Midwest,1.5696,926.64,0.5232,13130.1,1.0,1.0,0.0,0.42,0.621,Very Poor,0
FIN_000029,42,646,21298,0.2649,16408,12,16,2,0,3,0.6842,1,0,101,Medical,Employed,Southeast,0.7704,1367.33,0.7704,4346.48,1.0,0.2,0.6,0.9525,0.7862,Fair,0
FIN_000030,64,469,26387,0.3328,11576,12,1,14,1,1,0.3264,1,0,145,Debt Consolidation,Self-Employed,Southeast,0.4387,964.67,0.4387,3852.49,0.5,1.0,0.2,0.64,0.5957,Very Poor,0
FIN_000031,45,301,91026,0.6136,7396,84,0,15,1,4,0.1706,1,1,49,Business,Employed,West,0.0813,88.05,0.0116,4538.19,0.5,1.0,0.8,0.4225,0.4492,Very Poor,0
FIN_000032,69,661,123212,0.0802,5341,84,1,3,2,2,0.2839,1,0,77,Medical,Employed,Midwest,0.0433,63.58,0.0062,428.35,0.3333,0.3,0.4,0.5325,0.6814,Fair,0
FIN_000033,47,595,40016,0.8227,25157,36,1,14,1,3,0.8005,0,1,222,Auto,Employed,Midwest,0.6287,698.81,0.2096,20696.66,0.5,1.0,0.6,0.34,0.4253,Fair,1
FIN_000034,62,501,20009,0.2789,23451,60,5,17,2,0,0.729,0,1,34,Home Improvement,Self-Employed,Midwest,1.172,390.85,0.2344,6540.48,0.3333,1.0,0.0,0.285,0.4936,Very Poor,0
FIN_000035,48,588,40929,0.2794,48503,36,29,5,0,1,0.4499,1,1,180,Debt Consolidation,Employed,Southeast,1.1851,1347.31,0.395,13551.74,1.0,0.5,0.2,1.0,0.7927,Fair,0
FIN_000036,36,361,112593,0.2944,95985,60,10,1,1,0,0.1997,0,1,126,Business,Employed,Northeast,0.8525,1599.75,0.1705,28257.98,0.5,0.1,0.0,0.7,0.5888,Very Poor,0
FIN_000037,35,801,56249,0.0494,12253,36,6,11,2,1,0.2159,0,0,202,Medical,Retired,Northeast,0.2178,340.36,0.0726,605.3,0.3333,1.0,0.2,0.54,0.7464,Exceptional,0
FIN_000038,67,425,20402,0.2785,12770,48,7,1,1,1,0.5305,0,1,38,Auto,Employed,Southwest,0.6259,266.04,0.1565,3556.44,0.5,0.1,0.2,0.375,0.5336,Very Poor,0
FIN_000039,71,348,146426,0.3363,6768,12,2,15,1,5,0.7794,1,0,52,Business,Employed,Northeast,0.0462,564.0,0.0462,2276.08,0.5,1.0,1.0,0.51,0.4873,Very Poor,1
FIN_000040,64,478,39535,0.1522,12556,84,8,6,1,1,0.7189,0,0,138,Debt Consolidation,Employed,Southeast,0.3176,149.48,0.0454,1911.02,0.5,0.6,0.2,0.62,0.6018,Very Poor,0
FIN_000041,72,792,35583,0.5541,13486,24,2,9,1,3,0.5984,0,1,76,Business,Employed,Southeast,0.379,561.92,0.1895,7472.59,0.5,0.9,0.6,0.27,0.5717,Very Good,0
FIN_000042,23,732,99018,0.7087,12597,48,1,11,0,4,0.4681,0,1,220,Business,Employed,Midwest,0.1272,262.44,0.0318,8927.49,1.0,1.0,0.8,0.34,0.6354,Good,0
FIN_000043,57,601,57882,0.2297,19193,48,0,1,2,2,0.1261,0,0,5,Auto,Employed,Northeast,0.3316,399.85,0.0829,4408.63,0.3333,0.1,0.4,0.0125,0.5606,Fair,0
FIN_000044,71,468,106237,0.4272,3085,84,2,6,0,1,0.3155,0,0,130,Auto,Employed,Midwest,0.029,36.73,0.0041,1317.91,1.0,0.6,0.2,0.38,0.6338,Very Poor,1
FIN_000045,27,568,45146,0.0331,4650,84,0,19,0,1,0.0147,0,0,149,Business,Employed,Midwest,0.103,55.36,0.0147,153.92,1.0,1.0,0.2,0.3,0.7857,Very Poor,0
FIN_000046,41,663,46870,0.1129,7004,12,5,14,1,4,0.483,1,1,16,Medical,Employed,Southwest,0.1494,583.67,0.1494,790.75,0.5,1.0,0.8,0.54,0.6885,Fair,0
FIN_000047,29,399,36839,0.356,4192,60,5,3,0,4,0.6713,0,1,105,Home Improvement,Employed,Midwest,0.1138,69.87,0.0228,1492.35,1.0,0.3,0.8,0.4625,0.6041,Very Poor,1
FIN_000048,59,514,53761,0.243,37650,36,3,2,2,3,0.186,0,0,10,Medical,Self-Employed,West,0.7003,1045.83,0.2334,9148.95,0.3333,0.2,0.6,0.145,0.5405,Very Poor,0
FIN_000049,38,396,47883,0.0688,10435,84,0,11,2,2,0.3492,0,0,220,Home Improvement,Self-Employed,Southeast,0.2179,124.23,0.0311,717.93,0.3333,1.0,0.4,0.3,0.5493,Very Poor,1
FIN_000050,24,847,32129,0.1375,27831,12,4,10,0,3,0.4689,0,1,65,Debt Consolidation,Employed,Southeast,0.8662,2319.25,0.8662,3826.76,1.0,1.0,0.6,0.3225,0.8161,Exceptional,0
FIN_000051,45,636,17773,0.0543,8922,36,1,4,0,0,0.2077,0,0,104,Business,Employed,West,0.502,247.83,0.1673,484.46,1.0,0.4,0.0,0.3,0.7851,Fair,1
FIN_000052,34,658,65203,0.4352,8091,84,1,10,0,1,0.4042,0,1,214,Business,Self-Employed,Midwest,0.1241,96.32,0.0177,3521.2,1.0,1.0,0.2,0.34,0.684,Fair,0
FIN_000053,70,589,59511,0.1351,73673,60,4,15,0,4,0.4056,1,0,210,Auto,Employed,Midwest,1.238,1227.88,0.2476,9953.22,1.0,1.0,0.8,0.76,0.7975,Fair,0
FIN_000054,29,695,41844,0.0716,7274,48,0,11,2,1,0.2677,1,1,169,Debt Consolidation,Self-Employed,West,0.1738,151.54,0.0435,520.82,0.3333,1.0,0.2,0.6,0.7073,Good,0
FIN_000055,46,659,86488,0.2406,12282,60,0,15,1,2,0.46,1,0,102,Medical,Employed,Northeast,0.142,204.7,0.0284,2955.05,0.5,1.0,0.4,0.555,0.6597,Fair,0
FIN_000056,73,646,53616,0.5579,8809,48,7,3,3,1,0.2096,0,0,164,Auto,Self-Employed,Midwest,0.1643,183.52,0.0411,4914.54,0.25,0.3,0.2,0.58,0.5546,Fair,1
FIN_000057,22,423,63695,0.2219,14307,48,1,14,1,5,0.4293,0,1,219,Auto,Business Owner,Southwest,0.2246,298.06,0.0562,3174.72,0.5,1.0,1.0,0.34,0.5519,Very Poor,1
FIN_000058,40,837,48880,0.1416,11022,12,2,3,0,1,0.7215,0,0,5,Auto,Employed,Midwest,0.2255,918.5,0.2255,1560.72,1.0,0.3,0.2,0.0925,0.7517,Exceptional,0
